loc_src,id,screen_name,name,location,description,created_at,friends_count,followers_count,status_count
"Bangalore, India",84112817,ratul_views,Ratul Bhattacharya,Bangalore | Kolkata | Siliguri,Marketing & Business Strategist | Technology Enthusiast | Occasional Philosopher | True Bong | Ex @FollowCII @TataCompanies @NENIndia @WTCBengaluru,Wed Oct 21 16:43:26 +0000 2009,333,281,5524
"Bangkok, Thailand",289323931,MonkuMonkuro,Monkuro.KSP,Chiangmai Thailand,"รีทวิตเป็นกิจที่1 Siriraj Hospital, #Mahidol University. #MU30. #NS121 IG:Monkuro.Kritsanapong",Thu Apr 28 12:57:25 +0000 2011,449,233,23037
